id,school,X.1,X.2,X.3,A,M1,M2,Y
1,1,-0.32654130864324343,0.9474330807053855,-2.2287500770893747,0,1,1,0.7467308221017661
2,1,-0.17205796456945122,2.15979688295359,-0.7201648038356964,1,1,1,0.7000152677090186
3,1,0.25987970462813237,0.7938740004207188,0.6847417564593715,1,1,1,-0.42365938997370867
4,1,0.13438477720408254,0.4489623461533467,-0.21409882172892886,0,1,1,0.3480103561935971
5,1,-0.2810152789142105,0.8649282409558416,-0.7447709899001798,1,1,1,-0.21960468938630673
6,1,0.18301271122619767,0.24562310662068565,0.04740823096250513,1,1,1,1.8428575701929222
7,1,0.368058370517233,0.4242616982578258,0.2834378384306051,0,1,1,0.4659084053803901
8,1,1.002675236035417,1.0056966924936197,0.5274837367484718,1,1,1,0.20129494731664188
9,1,-1.1467353873458317,1.415880221561499,-0.21769962140387517,1,1,1,1.3153845619215523
10,1,2.0582903352668103,-0.43734882337531056,-1.517091584230661,1,1,1,-0.6935581973159022
11,1,-0.32384096958033587,1.7531831430380516,0.35569753376712254,0,1,1,0.9070581888612674
12,1,-0.6356987334131108,2.010902750177497,-1.0760953667156752,0,0,1,0.901005425912733
13,1,-0.3046802150456651,-0.3603484904484312,-0.8635863329526126,1,1,1,0.9533503193910665
14,1,-0.8373040297324368,1.2617167207545181,-2.165540835406316,0,0,1,2.6031843578245515
15,1,0.3075254175987869,0.7569080712859881,-0.04214464405940099,0,1,1,1.4611724898155152
16,1,0.2428623851602884,0.6869196982370274,-2.0529850116717734,1,0,1,-0.17573359130808408
17,1,0.47349753053762245,1.4267489936159263,-0.9150050393461453,1,1,1,2.896621487314389
18,1,0.8909794248868511,1.8213984025248795,-0.054288947198175785,1,1,1,1.0242952170318738
19,1,-0.8603367686939056,1.4103869437867882,-0.528933224668466,0,1,1,0.628445201402592
20,1,-0.5084249093903978,-0.3007452770358038,0.04443281728934689,1,1,1,-0.40612199736482757
21,2,-0.2838562113988079,0.7291840092785722,-1.3019470450964372,0,0,1,0.8483254671774012
22,2,-1.282280200596182,0.5153093947948418,0.09383260924554557,0,0,1,0.5323074189813752
23,2,0.36595553502473405,-1.2844924920333218,-0.1983639753246423,1,1,1,1.8592748389400824
24,2,0.7594153164718445,-0.011868895051963535,-0.724901061357078,0,1,1,0.17376581929276658
25,2,0.36789579692683533,-0.5490495793483693,-0.027594358756743487,1,0,0,0.4529429580008476
26,2,0.4837800119207967,0.6266351496514888,-1.7976245700958482,1,0,1,-0.14901376290472546
27,2,0.5078874753682043,-1.4689858881512734,0.7864005098591291,1,1,0,1.7281350819806947
28,2,-2.1191112564858554,-2.19102506555421,-1.3615822332920402,0,0,0,1.1596186486590723
29,2,0.7281276546140885,-0.17320995211704304,-0.7665120265156792,0,1,1,0.84265237111689
30,2,0.18414554139395672,-1.0754865748944473,1.759339878163855,1,1,1,-0.04353713705200124
31,2,-0.35023455315284396,-1.5430630786353412,-1.5921699953596342,0,1,0,0.645230021083591
